Table S2. Movement Data for GPS-Instrumented Stones on Racetrack Playa,,,,,,,,,,,,,,,,
Death Valley National Park,,,,,,,,,,,,,,,,
Stone Name: EOS; Location Designation: A3;  Mass: 16.6 Kg,,,,,,Stone Name: MAIA; Location Designation: A6;  Mass: 8.2 Kg,,,,,,Stone Name: FREYA; Location Designation: A11;  Mass: 15.4 Kg,,,,
"""Date""","""Time(UTC)""","""Lat(deg)""","""Long(deg)""","""Velocity(m/min)""",,"""Date"""," ""Time (UTC)"""," ""Lat (deg)"""," ""Long (deg)""",Velocity (m/min),,Date," ""Time (UTC)"""," ""Lat (deg)"""," ""Long (deg)""",Velocity (m/min)
12/4/13,19:06:20,36.6734305,-117.552983,3.967787,,12/4/13,19:06:14,36.6741586,-117.5545261,1.343358,,12/20/2013,19:38:25,36.6758322,-117.5554468,2.234289
12/4/13,19:06:21,36.6734312,-117.5529828,4.090642,,12/4/13,19:06:15,36.6741591,-117.5545257,1.39606,,12/20/2013,19:38:26,36.6758326,-117.5554465,2.318718
12/4/13,19:06:22,36.6734319,-117.5529825,4.194048,,12/4/13,19:06:16,36.6741595,-117.5545254,1.45102,,12/20/2013,19:38:27,36.675833,-117.5554461,2.404704
12/4/13,19:06:23,36.6734325,-117.5529823,4.274698,,12/4/13,19:06:17,36.6741599,-117.5545251,1.521928,,12/20/2013,19:38:28,36.6758335,-117.5554458,2.489384
12/4/13,19:06:24,36.673433,-117.5529823,4.358684,,12/4/13,19:06:18,36.6741604,-117.5545247,1.581214,,12/20/2013,19:38:29,36.6758339,-117.5554454,2.562663
12/4/13,19:06:25,36.6734335,-117.5529822,4.462082,,12/4/13,19:06:19,36.6741608,-117.5545244,1.658584,,12/20/2013,19:38:30,36.6758342,-117.555445,2.637699
12/4/13,19:06:26,36.6734341,-117.552982,4.5849,,12/4/13,19:06:20,36.6741613,-117.5545241,1.737428,,12/20/2013,19:38:31,36.6758346,-117.5554447,2.71289
12/4/13,19:06:27,36.6734348,-117.5529817,4.691618,,12/4/13,19:06:21,36.6741618,-117.5545238,1.817553,,12/20/2013,19:38:32,36.675835,-117.5554444,2.788223
12/4/13,19:06:28,36.6734354,-117.5529814,4.817869,,12/4/13,19:06:22,36.6741623,-117.5545235,1.881732,,12/20/2013,19:38:33,36.6758354,-117.5554441,2.85194
12/4/13,19:06:29,36.6734361,-117.552981,4.924693,,12/4/13,19:06:23,36.6741627,-117.5545231,1.964242,,12/20/2013,19:38:34,36.6758357,-117.5554438,2.936924
12/4/13,19:06:30,36.6734367,-117.5529807,5.047636,,12/4/13,19:06:24,36.6741632,-117.5545228,2.04782,,12/20/2013,19:38:35,36.6758361,-117.5554434,3.000681
12/4/13,19:06:31,36.6734374,-117.5529804,5.154519,,12/4/13,19:06:25,36.6741637,-117.5545224,2.132172,,12/20/2013,19:38:36,36.6758364,-117.5554431,3.088171
