"Table S1: Weather data collected from Racetrack Playa, Death Valley National Park",,,,,,
 Data period: Nov-20-2013 to Jan-9-2014 ,,,,,,
"Station located at N36.6823, W117.5515.",,,,,,
"The weather station was equipped with Campbell Scientific CR-800 Data Logger, CS LI200X-LC Pyranometer, CS HMP35C-LC Temp and RH probe, CS GPS16X-HVS-PW, and a R.M. Young 05103-5 Wind Monitor. ",,,,,,
Rainfall collection was made with a Campbell Scientific TE525-LC Tipping Bucket Rain Gauge,,,,,,
,,,,,,
,,,,,,
"Records of Rainfall, Insolation, Air temperature, and Wind velocity are all hourly averages with the time stamp given in the first column",,,,,,
 The record of Maximum wind gust strength (in column 7) is calculated to the nearest minute with a time stamp given in Column 6,,,,,,
,,,,,,
Time Stamp,Hourly Rainfall Total,Hourly Average Insolation,Hourly Average Air Temperature,Hourly Average Wind Velocity,Time Stamp-Wind Gusts,Maximum Wind Gusts
" (Date, Hour)",(mm),(W/m^2),(Deg C),meters/second,"(Date, Hour: Minute)",meters/second
,,,,,,
TimeStamp(Date-Hour),HourlyRainfallTotal(mm),HourlyAverageInsolation(W/m^2),HourlyAverageAirTemperature(DegC),HourlyAverageWindVelocity(m/s),TimeStamp-WindGusts(Date-Hour:Minute),MaximumWindGusts(m/s)
12/27/13 6:00,0,0,-2.673,0.24,12/27/13 5:49,1.078
12/27/13 7:00,0,0.677,-2.93,0.13,12/27/13 6:22,1.47
12/27/13 8:00,0,30.11,-2.847,0.05,12/27/13 7:19,0.588
12/27/13 9:00,0,219.7,-0.037,0.1,12/27/13 8:27,0.784
12/27/13 10:00,0,377.1,2.908,0.32,12/27/13 9:30,1.372
12/27/13 11:00,0,505,6.046,0.59,12/27/13 10:41,1.274
12/27/13 12:00,0,517.2,7.765,0.82,12/27/13 11:30,1.568
12/27/13 13:00,0,588.5,10.37,1.1,12/27/13 12:49,1.862
12/27/13 14:00,0,498.4,10.86,2.52,12/27/13 13:52,4.214
12/27/13 15:00,0,307.3,10.3,2.98,12/27/13 14:04,4.704
12/27/13 16:00,0,170.1,9.35,2.74,12/27/13 15:23,4.704
12/27/13 17:00,0,12.05,6.996,1.51,12/27/13 16:00,2.94
12/27/13 18:00,0,0.169,5.924,0.66,12/27/13 17:39,2.058
12/27/13 19:00,0,0.035,4.393,0.36,12/27/13 18:30,1.568
12/27/13 20:00,0,0.013,3.501,0.37,12/27/13 19:22,1.47
12/27/13 21:00,0,0.008,3.164,1.08,12/27/13 20:53,2.45
12/27/13 22:00,0,0,1.971,0.49,12/27/13 21:00,2.156
12/27/13 23:00,0,0,1.389,0.87,12/27/13 22:31,2.744
12/28/13 0:00,0,0,1.088,1.55,12/27/13 23:50,3.234
12/28/13 1:00,0,0,0.809,0.87,12/28/13 0:11,3.038
12/28/13 2:00,0,0,0.959,0.92,12/28/13 1:59,2.352
12/28/13 3:00,0,0,0.709,1.22,12/28/13 2:05,3.136
12/28/13 4:00,0,0,1.137,1.24,12/28/13 3:15,2.744
12/28/13 5:00,0,0,-0.019,1.38,12/28/13 4:54,2.94
12/28/13 6:00,0,0,0.091,0.76,12/28/13 5:06,2.548
12/28/13 7:00,0,0.381,-1.182,0.38,12/28/13 6:26,1.764
12/28/13 8:00,0,23.2,-1.297,0.75,12/28/13 7:44,2.254
12/28/13 9:00,0,251.6,1.29,0.47,12/28/13 8:56,1.47
12/28/13 10:00,0,406.7,4.097,0.67,12/28/13 9:43,1.862
12/28/13 11:00,0,523.1,7.547,1.12,12/28/13 10:44,3.626
12/28/13 12:00,0,578.1,9.57,1.14,12/28/13 11:31,2.744
12/28/13 13:00,0,568.9,11.88,2.77,12/28/13 12:41,4.508
12/28/13 14:00,0,494.6,13.09,3.41,12/28/13 13:50,5.684
12/28/13 15:00,0,362.4,12.69,2.94,12/28/13 14:00,5.586
12/28/13 16:00,0,187.2,12.93,1.67,12/28/13 15:23,4.508
12/28/13 17:00,0,12.06,10.19,0.98,12/28/13 16:41,2.94
12/28/13 18:00,0,0.22,8.13,1.01,12/28/13 17:38,2.352
12/28/13 19:00,0,0.122,6.009,1.11,12/28/13 18:07,2.842
12/28/13 20:00,0,0.002,6.085,1.22,12/28/13 19:17,3.136
12/28/13 21:00,0,0.006,5.262,1.31,12/28/13 20:28,3.528
12/28/13 22:00,0,0.001,4.873,1.35,12/28/13 21:00,3.234
12/28/13 23:00,0,0.005,3.017,0.97,12/28/13 22:34,2.646
12/29/13 0:00,0,0,2.379,1.46,12/28/13 23:35,3.332
12/29/13 1:00,0,0.001,1.444,1,12/29/13 0:28,3.136
12/29/13 2:00,0,0,0.771,1.19,12/29/13 1:31,3.724
12/29/13 3:00,0,0,-0.016,0.71,12/29/13 2:34,2.842
12/29/13 4:00,0,0,-1.297,1.34,12/29/13 3:23,2.94
12/29/13 5:00,0,0,-1.295,0.33,12/29/13 4:04,2.842
12/29/13 6:00,0,0,-1.727,1.05,12/29/13 5:17,2.646
12/29/13 7:00,0,0.56,-1.957,0.62,12/29/13 6:15,1.96
12/29/13 8:00,0,23.12,-3.137,0.72,12/29/13 7:25,2.646
12/29/13 9:00,0,246.7,0.034,0.52,12/29/13 8:15,2.352
12/29/13 10:00,0,409.2,3.668,0.63,12/29/13 9:43,2.156
12/29/13 11:00,0,525.9,6.903,0.85,12/29/13 10:24,2.548
12/29/13 12:00,0,583,10.06,1.88,12/29/13 11:55,5.194
12/29/13 13:00,0,572.4,10.69,2.89,12/29/13 12:10,4.606
12/29/13 14:00,0,499.4,11.35,2.35,12/29/13 13:08,4.606
12/29/13 15:00,0,366.9,10.7,2.95,12/29/13 14:10,6.076
12/29/13 16:00,0,191.1,10.19,2.5,12/29/13 15:17,4.802
12/29/13 17:00,0,10.48,7.963,0.94,12/29/13 16:06,2.646
12/29/13 18:00,0,0.192,5.986,0.56,12/29/13 17:31,1.862
12/29/13 19:00,0,0.033,4.703,0.96,12/29/13 18:37,2.548
12/29/13 20:00,0,0.032,2.116,0.51,12/29/13 19:38,1.764
12/29/13 21:00,0,0,2.31,0.27,12/29/13 20:00,0.686
12/29/13 22:00,0,0,0.58,0.25,12/29/13 21:15,1.764
12/29/13 23:00,0,0,-0.214,0.61,12/29/13 22:35,2.058
12/30/13 0:00,0,0,-0.969,0.2,12/29/13 23:02,1.274
12/30/13 1:00,0,0,-1.089,0.65,12/30/13 0:40,1.96
12/30/13 2:00,0,0,-2.287,0.32,12/30/13 1:00,1.176
12/30/13 3:00,0,0,-1.701,0.81,12/30/13 2:43,2.352
12/30/13 4:00,0,0,-2.234,0.29,12/30/13 3:07,1.568
12/30/13 5:00,0,0,-2.832,0.79,12/30/13 4:26,2.156
12/30/13 6:00,0,0,-2.629,0.28,12/30/13 5:32,0.784
12/30/13 7:00,0,0.819,-3.035,0.18,12/30/13 6:17,1.274
12/30/13 8:00,0,26.74,-3.177,0.16,12/30/13 7:03,0.882
12/30/13 9:00,0,241.7,0.776,0.17,12/30/13 8:50,0.588
12/30/13 10:00,0,407.9,3.098,0.25,12/30/13 9:14,1.274
12/30/13 11:00,0,518.5,7.013,0.85,12/30/13 10:20,1.666
12/30/13 12:00,0,582.4,9.8,0.85,12/30/13 11:24,1.666
12/30/13 13:00,0,498.7,10.97,1.58,12/30/13 12:58,3.332
12/30/13 14:00,0,460.3,10.89,2.32,12/30/13 13:01,3.332
12/30/13 15:00,0,354.5,10.98,3.12,12/30/13 14:42,4.508
12/30/13 16:00,0,202.8,10.43,2,12/30/13 15:03,4.214
12/30/13 17:00,0,18.21,8.34,0.53,12/30/13 16:02,2.744
12/30/13 18:00,0,0.123,6.322,0.36,12/30/13 17:18,1.568
12/30/13 19:00,0,0.094,4.798,0.47,12/30/13 18:47,1.274
12/30/13 20:00,0,0.016,2.749,0.61,12/30/13 19:50,1.764
12/30/13 21:00,0,0.001,1.095,0.67,12/30/13 20:48,1.764
12/30/13 22:00,0,0,1.379,0.73,12/30/13 21:09,1.96
12/30/13 23:00,0,0,-0.003,0.55,12/30/13 22:34,2.842
12/31/13 0:00,0,0,-0.279,0.62,12/30/13 23:46,2.058
12/31/13 1:00,0,0,-1.281,0.49,12/31/13 0:19,2.254
12/31/13 2:00,0,0,-0.596,0.55,12/31/13 1:28,1.862
12/31/13 3:00,0,0,-1.113,0.98,12/31/13 2:56,2.058
12/31/13 4:00,0,0,-1.631,0.43,12/31/13 3:14,2.156
12/31/13 5:00,0,0,-1.588,0.4,12/31/13 4:25,1.372
12/31/13 6:00,0,0,-1.936,1.3,12/31/13 5:35,2.254
12/31/13 7:00,0,1.145,-2.274,0.64,12/31/13 6:06,1.96
12/31/13 8:00,0,34.86,-2.303,0.87,12/31/13 7:39,2.156
12/31/13 9:00,0,234.6,0.371,0.83,12/31/13 8:41,2.94
12/31/13 10:00,0,311.5,2.663,0.76,12/31/13 9:07,2.156
12/31/13 11:00,0,519.3,6.093,0.92,12/31/13 10:00,2.156
12/31/13 12:00,0,481.3,9.29,0.74,12/31/13 11:01,2.45
12/31/13 13:00,0,567.9,11.27,1.79,12/31/13 12:37,3.822
12/31/13 14:00,0,495.8,12.5,1.91,12/31/13 13:58,4.606
12/31/13 15:00,0,404,11.39,3.17,12/31/13 14:07,5.586
12/31/13 16:00,0,146.1,10.93,1.26,12/31/13 15:00,4.018
12/31/13 17:00,0,11.12,9.28,1.08,12/31/13 16:50,2.254
12/31/13 18:00,0,0.201,6.961,0.98,12/31/13 17:10,2.646
12/31/13 19:00,0,0.086,5.973,1.29,12/31/13 18:20,2.254
12/31/13 20:00,0,0.005,4.02,1.16,12/31/13 19:11,2.94
12/31/13 21:00,0,0.028,2.674,0.03,12/31/13 20:00,0.784
12/31/13 22:00,0,0.009,1.256,0.36,12/31/13 21:51,1.274
12/31/13 23:00,0,0,0.572,0.63,12/31/13 22:42,2.254
1/1/14 0:00,0,0,-0.343,0.92,12/31/13 23:28,2.156
1/1/14 1:00,0,0,-0.635,0.19,1/1/14 0:10,2.254
1/1/14 2:00,0,0,-0.94,0.42,1/1/14 1:26,1.47
1/1/14 3:00,0,0,-1.58,0.6,1/1/14 2:24,0.98
1/1/14 4:00,0,0,-1.929,0.37,1/1/14 3:01,2.45
1/1/14 5:00,0,0,-2.117,0.54,1/1/14 4:52,2.352
1/1/14 6:00,0,0,-2.314,0.43,1/1/14 5:01,1.666
1/1/14 7:00,0,0.532,-2.335,0.51,1/1/14 6:12,1.176
1/1/14 8:00,0,21.37,-3.213,0.37,1/1/14 7:00,2.058
1/1/14 9:00,0,242.9,0.135,0.42,1/1/14 8:27,2.548
1/1/14 10:00,0,402.4,3.971,0.65,1/1/14 9:38,1.862
1/1/14 11:00,0,518.4,6.92,0.88,1/1/14 10:42,1.862
1/1/14 12:00,0,576.6,10.47,0.82,1/1/14 11:41,2.058
1/1/14 13:00,0,566,13.13,0.85,1/1/14 12:53,1.96
1/1/14 14:00,0,480.3,13.27,2.24,1/1/14 13:27,4.508
1/1/14 15:00,0,378.4,13.44,2.93,1/1/14 14:42,4.508
1/1/14 16:00,0,233.8,12.37,2.17,1/1/14 15:02,4.312
1/1/14 17:00,0,30.38,10.35,1.81,1/1/14 16:57,4.606
1/1/14 18:00,0,0.213,8.48,0.69,1/1/14 17:01,4.312
1/1/14 19:00,0,0.115,6.917,0.68,1/1/14 18:12,1.764
1/1/14 20:00,0,0.06,4.584,0.38,1/1/14 19:02,1.47
1/1/14 21:00,0,0.016,4.002,0.48,1/1/14 20:31,1.666
1/1/14 22:00,0,0.002,2.329,1.1,1/1/14 21:28,2.45
1/1/14 23:00,0,0.003,1.337,0.52,1/1/14 22:40,1.764
1/2/14 0:00,0,0,0.865,0.46,1/1/14 23:04,1.078
1/2/14 1:00,0,0,-0.247,0.74,1/2/14 0:58,2.156
1/2/14 2:00,0,0,-0.334,0.15,1/2/14 1:02,2.156
1/2/14 3:00,0,0,-0.472,0.46,1/2/14 2:31,1.568
1/2/14 4:00,0,0,-0.944,0.92,1/2/14 3:29,2.058
1/2/14 5:00,0,0,-1.829,0.12,1/2/14 4:00,1.666
1/2/14 6:00,0,0,-1.392,0.34,1/2/14 5:18,1.47
1/2/14 7:00,0,0.453,-1.632,0.08,1/2/14 6:08,1.176
1/2/14 8:00,0,20.31,-2.005,0.4,1/2/14 7:37,1.568
1/2/14 9:00,0,252.8,0.643,0.42,1/2/14 8:15,1.764
1/2/14 10:00,0,399.9,3.737,0.81,1/2/14 9:15,1.372
1/2/14 11:00,0,515.9,6.518,0.98,1/2/14 10:32,1.862
1/2/14 12:00,0,574.3,11.32,0.85,1/2/14 11:43,1.568
1/2/14 13:00,0,567,12.76,2.23,1/2/14 12:52,4.116
1/2/14 14:00,0,495.4,12.67,3.3,1/2/14 13:56,4.41
1/2/14 15:00,0,367.1,12.7,3.03,1/2/14 14:00,4.312
1/2/14 16:00,0,200.5,12.17,2.33,1/2/14 15:26,4.606
1/2/14 17:00,0,13.68,9.57,0.73,1/2/14 16:00,3.234
1/2/14 18:00,0,0.222,8.3,0.3,1/2/14 17:16,1.568
1/2/14 19:00,0,0.182,7.075,0.53,1/2/14 18:42,1.47
1/2/14 20:00,0,0.128,4.386,0.47,1/2/14 19:29,1.666
1/2/14 21:00,0,0.002,2.357,0.17,1/2/14 20:29,1.176
1/2/14 22:00,0,0,2.122,0.08,1/2/14 21:00,0.588
1/2/14 23:00,0,0,1.14,0.22,1/2/14 22:25,1.078
1/3/14 0:00,0,0,0.123,0.15,1/2/14 23:37,1.078
1/3/14 1:00,0,0,-0.618,0.33,1/3/14 0:21,1.372
1/3/14 2:00,0,0,-0.655,1,1/3/14 1:29,2.45
1/3/14 3:00,0,0,-1.273,0.99,1/3/14 2:57,2.352
1/3/14 4:00,0,0,-1.876,0.33,1/3/14 3:00,2.45
1/3/14 5:00,0,0,-1.678,0.29,1/3/14 4:40,1.568
1/3/14 6:00,0,0,-1.898,0.13,1/3/14 5:07,1.568
1/3/14 7:00,0,0.558,-1.964,0.39,1/3/14 6:57,1.372
1/3/14 8:00,0,21.57,-2.21,0.26,1/3/14 7:00,1.176
1/3/14 9:00,0,252,1.097,0.44,1/3/14 8:56,0.98
1/3/14 10:00,0,400.3,3.948,1,1/3/14 9:57,2.352
1/3/14 11:00,0,515.9,6.556,1.18,1/3/14 10:41,2.156
1/3/14 12:00,0,575.8,10.69,1.04,1/3/14 11:59,1.96
1/3/14 13:00,0,562.9,12.19,1.93,1/3/14 12:58,3.822
1/3/14 14:00,0,364.3,11.88,2.86,1/3/14 13:43,4.704
1/3/14 15:00,0,190.7,11.38,2.16,1/3/14 14:00,3.528
1/3/14 16:00,0,128.3,10.54,1.4,1/3/14 15:02,3.528
1/3/14 17:00,0,24.3,9.42,0.54,1/3/14 16:00,2.352
1/3/14 18:00,0,0.224,7.532,0.46,1/3/14 17:51,1.764
1/3/14 19:00,0,0.096,5.766,0.45,1/3/14 18:59,1.47
1/3/14 20:00,0,0.004,3.887,0.89,1/3/14 19:22,2.058
1/3/14 21:00,0,0.011,3.292,0.42,1/3/14 20:48,1.96
1/3/14 22:00,0,0,1.346,0.71,1/3/14 21:02,1.666
1/3/14 23:00,0,0.002,1.452,0.37,1/3/14 22:06,1.764
1/4/14 0:00,0,0,1.168,0.49,1/3/14 23:54,2.548
1/4/14 1:00,0,0,-0.38,0.7,1/4/14 0:23,2.058
1/4/14 2:00,0,0,-0.4,1.07,1/4/14 1:29,2.842
1/4/14 3:00,0,0,-1.001,1.03,1/4/14 2:40,2.646
1/4/14 4:00,0,0,-1.632,0.84,1/4/14 3:37,2.548
1/4/14 5:00,0,0,-1.68,0.87,1/4/14 4:32,2.548
1/4/14 6:00,0,0.002,-1.842,0.7,1/4/14 5:59,1.078
1/4/14 7:00,0,0.319,-1.926,1.15,1/4/14 6:09,2.744
1/4/14 8:00,0,20.54,-2.165,1.13,1/4/14 7:05,2.94
1/4/14 9:00,0,255.1,1.137,0.65,1/4/14 8:52,1.96
1/4/14 10:00,0,408.6,4.038,0.68,1/4/14 9:24,1.666
1/4/14 11:00,0,525.6,8.13,0.87,1/4/14 10:12,1.96
1/4/14 12:00,0,583.4,11.79,1.83,1/4/14 11:55,6.174
1/4/14 13:00,0,577.1,13.33,2.83,1/4/14 12:57,6.468
1/4/14 14:00,0,508.6,13.48,3.39,1/4/14 13:55,7.154
1/4/14 15:00,0,384,13.49,3.74,1/4/14 14:16,7.35
1/4/14 16:00,0,216.5,12.94,3.93,1/4/14 15:16,6.566
1/4/14 17:00,0,13.55,11.62,2.41,1/4/14 16:03,5.488
1/4/14 18:00,0,0.236,9.79,0.78,1/4/14 17:19,2.94
1/4/14 19:00,0,0.13,8.51,1.28,1/4/14 18:34,3.43
1/4/14 20:00,0,0.026,6.231,1.26,1/4/14 19:37,3.43
1/4/14 21:00,0,0.02,5.806,1.33,1/4/14 20:33,3.038
1/4/14 22:00,0,0.01,3.436,1.08,1/4/14 21:02,2.744
1/4/14 23:00,0,0,2.703,0.91,1/4/14 22:19,3.136
1/5/14 0:00,0,0,1.168,0.4,1/4/14 23:53,2.45
1/5/14 1:00,0,0,-0.545,0.35,1/5/14 0:20,2.646
1/5/14 2:00,0,0.001,-0.475,1.21,1/5/14 1:43,2.94
1/5/14 3:00,0,0,-1.199,0.41,1/5/14 2:11,2.058
1/5/14 4:00,0,0.001,-2.202,0.55,1/5/14 3:16,1.96
1/5/14 5:00,0,0.002,-1.85,0.82,1/5/14 4:18,2.058
1/5/14 6:00,0,0.001,-3.083,1.01,1/5/14 5:40,2.94
1/5/14 7:00,0,0.528,-2.8,0.52,1/5/14 6:15,2.058
1/5/14 8:00,0,21.01,-3.156,0.67,1/5/14 7:39,2.548
1/5/14 9:00,0,251.5,0.167,0.78,1/5/14 8:59,2.842
1/5/14 10:00,0,418,4.512,0.5,1/5/14 9:00,2.548
1/5/14 11:00,0,538.8,8.75,1.86,1/5/14 10:58,3.038
1/5/14 12:00,0,597.3,9.35,3.82,1/5/14 11:40,5.684
1/5/14 13:00,0,590.9,10.31,3.67,1/5/14 12:07,4.998
1/5/14 14:00,0,519.9,10.94,3.79,1/5/14 13:49,5.684
1/5/14 15:00,0,390.3,10.95,3.11,1/5/14 14:01,4.998
1/5/14 16:00,0,219.9,10.52,2.43,1/5/14 15:37,4.802
1/5/14 17:00,0,15.01,8.29,0.73,1/5/14 16:16,2.744
1/5/14 18:00,0,0.333,6.508,0.43,1/5/14 17:15,1.862
1/5/14 19:00,0,0.043,5.937,0.47,1/5/14 18:21,1.96
1/5/14 20:00,0,0.038,1.831,0.72,1/5/14 19:54,1.862
1/5/14 21:00,0,0.004,1.34,0.7,1/5/14 20:20,2.744
1/5/14 22:00,0,0,0.496,0.68,1/5/14 21:29,1.666
1/5/14 23:00,0,0.003,-0.668,0.32,1/5/14 22:03,1.862
1/6/14 0:00,0,0,-1.258,0.05,1/5/14 23:01,1.176
1/6/14 1:00,0,0,-2.115,0.53,1/6/14 0:28,2.156
1/6/14 2:00,0,0.001,-1.987,0.33,1/6/14 1:58,1.372
1/6/14 3:00,0,0,-2.732,0.46,1/6/14 2:37,1.274
1/6/14 4:00,0,0.013,-2.872,0.22,1/6/14 3:06,1.666
1/6/14 5:00,0,0.026,-3.478,0.29,1/6/14 4:57,0.98
1/6/14 6:00,0,0,-3.562,0.34,1/6/14 5:53,1.078
1/6/14 7:00,0,0.592,-4.099,0.38,1/6/14 6:54,2.058
1/6/14 8:00,0,23.39,-4.29,0.2,1/6/14 7:15,0.98
1/6/14 9:00,0,271.1,-0.284,0.1,1/6/14 8:17,1.47
1/6/14 10:00,0,421,2.787,0.48,1/6/14 9:48,1.568
1/6/14 11:00,0,514.3,5.995,0.9,1/6/14 10:31,1.666
1/6/14 12:00,0,599.8,8.63,1.11,1/6/14 11:30,1.764
1/6/14 13:00,0,560.9,10.7,1.85,1/6/14 12:51,2.744
1/6/14 14:00,0,396.6,10.42,2.59,1/6/14 13:55,3.822
1/6/14 15:00,0,246.8,10.01,2.78,1/6/14 14:21,4.41
1/6/14 16:00,0,130.9,9.17,1.73,1/6/14 15:20,3.724
1/6/14 17:00,0,22.09,8.06,0.95,1/6/14 16:22,2.744
1/6/14 18:00,0,0.314,6.142,1.35,1/6/14 17:37,3.038
1/6/14 19:00,0,0.039,5.033,1.73,1/6/14 18:54,2.94
1/6/14 20:00,0,0.011,4.628,1.09,1/6/14 19:45,2.646
1/6/14 21:00,0,0.001,3.64,1.08,1/6/14 20:01,2.744
1/6/14 22:00,0,0,3.331,1.58,1/6/14 21:43,2.744
1/6/14 23:00,0,0.001,3.232,1.14,1/6/14 22:27,2.45
1/7/14 0:00,0,0,2.612,1.01,1/6/14 23:21,2.94
1/7/14 1:00,0,0.001,2.673,1.1,1/7/14 0:54,2.352
1/7/14 2:00,0,0,2.069,0.67,1/7/14 1:04,2.058
1/7/14 3:00,0,0,1.887,0.99,1/7/14 2:08,3.528
1/7/14 4:00,0,0,1.979,1.15,1/7/14 3:13,2.352
1/7/14 5:00,0,0,1.212,1.11,1/7/14 4:06,2.744
1/7/14 6:00,0,0,0.855,0.77,1/7/14 5:44,2.156
1/7/14 7:00,0,0.27,-0.32,0.99,1/7/14 6:18,2.352
1/7/14 8:00,0,24.82,-0.529,0.83,1/7/14 7:08,2.646
1/7/14 9:00,0,225,1.487,0.41,1/7/14 8:45,1.96
1/7/14 10:00,0,358.6,4.306,0.61,1/7/14 9:41,2.058
1/7/14 11:00,0,356.1,7.03,0.73,1/7/14 10:37,1.666
1/7/14 12:00,0,426.4,9.21,0.74,1/7/14 11:39,1.764
1/7/14 13:00,0,531.5,11.52,1.06,1/7/14 12:48,1.862
1/7/14 14:00,0,380.5,10.96,3.6,1/7/14 13:53,5.782
1/7/14 15:00,0,215.3,10.3,2.19,1/7/14 14:03,5.488
1/7/14 16:00,0,128.1,9.46,2.54,1/7/14 15:23,5.782
1/7/14 17:00,0,26.23,8.32,0.44,1/7/14 16:04,3.136
1/7/14 18:00,0,0.22,6.513,0.6,1/7/14 17:49,2.058
1/7/14 19:00,0,0.028,4.619,1.17,1/7/14 18:27,2.744
1/7/14 20:00,0,0.063,2.939,0.48,1/7/14 19:06,2.254
1/7/14 21:00,0,0.005,1.219,1.15,1/7/14 20:34,2.646
1/7/14 22:00,0,0,-0.128,1.03,1/7/14 21:12,2.94
1/7/14 23:00,0,0,0.043,1.87,1/7/14 22:16,3.626
1/8/14 0:00,0,0,0.551,1.14,1/7/14 23:34,3.626
1/8/14 1:00,0,0,-1.055,0.46,1/8/14 0:29,1.764
1/8/14 2:00,0,0,-1.747,0.69,1/8/14 1:43,2.156
1/8/14 3:00,0,0,-2.572,0.76,1/8/14 2:17,2.548
1/8/14 4:00,0,0,-2.972,0.96,1/8/14 3:45,2.352
1/8/14 5:00,0,0,-3.389,1.39,1/8/14 4:28,2.646
1/8/14 6:00,0,0,-3.602,1.05,1/8/14 5:08,3.626
1/8/14 7:00,0,0.828,-3.309,0.3,1/8/14 6:01,1.666
1/8/14 8:00,0,21.5,-4.336,0.21,1/8/14 7:01,1.568
1/8/14 9:00,0,249.8,-0.387,0.55,1/8/14 8:25,1.862
1/8/14 10:00,0,414.9,2.908,0.45,1/8/14 9:56,1.96
1/8/14 11:00,0,526.7,7.303,0.67,1/8/14 10:17,1.666
1/8/14 12:00,0,586.7,10.13,0.71,1/8/14 11:59,1.862
1/8/14 13:00,0,593.7,11.62,1.12,1/8/14 12:54,2.254
1/8/14 14:00,0,502.1,11.72,2.62,1/8/14 13:38,4.802
1/8/14 15:00,0,329.6,11.55,2.44,1/8/14 14:51,3.822
1/8/14 16:00,0,208.7,10.39,3.32,1/8/14 15:27,5.292
1/8/14 17:00,0,25.87,8.64,2.39,1/8/14 16:45,4.704
1/8/14 18:00,0,0.259,7.683,1.23,1/8/14 17:01,3.43
1/8/14 19:00,0,0.146,5.029,1.19,1/8/14 18:40,1.96
1/8/14 20:00,0,0.045,4.416,0.62,1/8/14 19:22,4.214
1/8/14 21:00,0,0.007,3.989,1.57,1/8/14 20:54,2.646
1/8/14 22:00,0,0.011,1.985,1.07,1/8/14 21:25,3.626
1/8/14 23:00,0,0.012,1.125,1.25,1/8/14 22:48,2.45
1/9/14 0:00,0,0,1.542,1.18,1/8/14 23:13,3.136
1/9/14 1:00,0,0,0.382,1.45,1/9/14 0:46,2.45
1/9/14 2:00,0,0,-0.885,1.5,1/9/14 1:22,3.822
1/9/14 3:00,0,0,-0.982,1.31,1/9/14 2:30,3.528
1/9/14 4:00,0,0,-0.653,0.69,1/9/14 3:57,2.548
1/9/14 5:00,0,0,-1.978,0.61,1/9/14 4:43,2.45
1/9/14 6:00,0,0,-2.31,0.52,1/9/14 5:08,1.96
1/9/14 7:00,0,0.279,-2.235,0.94,1/9/14 6:23,2.842
1/9/14 8:00,0,31.1,-1.977,0.67,1/9/14 7:38,1.862
1/9/14 9:00,0,146.6,-0.371,0.66,1/9/14 8:22,2.156
1/9/14 10:00,0,280.2,1.959,1.05,1/9/14 9:42,2.352
1/9/14 11:00,0,477.4,5.095,1.41,1/9/14 10:39,2.94
1/9/14 12:00,0,592.8,8.9,1.9,1/9/14 11:59,3.43
1/9/14 13:00,0,553.1,11.36,2.24,1/9/14 12:05,3.724
1/9/14 14:00,0,517.5,11.05,2.51,1/9/14 13:06,6.566
1/9/14 15:00,0,386.4,11.51,3.54,1/9/14 14:29,5.88
1/9/14 16:00,0,223.8,11.45,1.64,1/9/14 15:00,4.508
1/9/14 17:00,0,20.88,9.46,1,1/9/14 16:18,2.352
1/9/14 18:00,0,0.432,7.401,0.89,1/9/14 17:38,2.548
1/9/14 19:00,0,0.052,6.665,1.36,1/9/14 18:35,2.842
1/9/14 20:00,0,0.048,4.349,1.13,1/9/14 19:57,2.94
1/9/14 21:00,0,0.002,3.068,1.8,1/9/14 20:17,3.136
1/9/14 22:00,0,0.014,2.738,1.05,1/9/14 21:12,3.43
1/9/14 23:00,0,0,2.07,1.53,1/9/14 22:49,3.724
1/10/14 0:00,0,0,1.417,,1/9/14 23:24,2.646
